Date Added,Track Item,Retailer,Retailer Item ID,TLD,UPC,Title,Manufacturer,Brand,Client Product Group,Category,Subcategory,Amazon Sub Category,Platform,VAT Code
43553,Y,AMAZON,B0019TWRSO,COUK,,"""HP CB316EE 364 Original Ink Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00006BBBP,COUK,,HP 82 - Print cartridge - 1 x cyan,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B003XW7GP4,COUK,,"""HP CE320A 128A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000IQYQRO,COUK,,HP Original No.70 Light Magenta Ink Cart 130ml,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B00FW1N1IU,COUK,,"""HP CF283A 83A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B002EDLQRW,COUK,,"""HP CE255A 55A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00023IY94,COUK,,HP 85 - Printhead - 1 x light cyan,HP,HP,PRINTER SUPPLIES,INK,LF INK,,,UK1
43553,Y,AMAZON,B00005AM7O,COUK,,"""HP C7115A 15A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000PHN1FO,COUK,,HP 91 Magenta and Yellow DesignJet Printhead (C9461A),HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B00004Z7E6,COUK,,HP Original C4874A Ink Cartridge No 80 Magenta 175Ml,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B002EDRK1S,COUK,,"""HP CE255X 55X High Yield Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000IQV4Y2,COUK,,HP Original No.70 Light Cyan Ink Cart 130ml,HP,HP,PRINTER SUPPLIES,INK,SF INK,,,UK1
43553,Y,AMAZON,B00004UE51,COUK,,HP Original 80 Black Print Head and Cleaner,HP,HP,PRINTER SUPPLIES,INK,LF INK,,,UK1
43699,Y,AMAZON,B07F3FZ1YK,COUK,,"""HP Pavilion 400 Bundle (4CE97AA) Keyboard and mouse with cable (QWERTZ",1.600 dpi,USB cable,3 buttons,"scroll wheel) black""",HP,,,MICE
43553,Y,AMAZON,B00F083QRQ,COUK,,"""HP D8J45AE 301XL High Yield Original Ink Cartridges",Black,"Pack of 2""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B01FDHNYOS,COUK,,"""HP T6M15AE 903XL High Yield Original Ink Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00MWOSVZS,COUK,,"""HP C2P04AE 62 Original Ink Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B005LU5UMC,COUK,,"""HP CN048AE 951XL High Yield Original Ink Cartridge",Yellow,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B005J1U42E,COUK,,"""HP CN049AE 950 Original Ink Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B0035EQ75U,COUK,,"""HP 300 Original Ink Cartridges",Black and Tri-color,"Pack of 2""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00F083S6U,COUK,,"""HP D8J46AE) 301XL High Yield Original Ink Cartridges",Tri-color,"Pack of 2""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B004OV8KZ8,COUK,,"""HP SD518AE 300 Original Ink Cartridges",Black and Tri-color,"Pack of 3""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B01LXLFF6H,COUK,,"""HP X4D37AE 302 Original Ink Cartridges",Black and Tri-color,"Pack of 2""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B0000696PZ,COUK,,"""HP C9723A 641A Original LaserJet Toner Cartridge",Magenta,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00169A4XC,COUK,,"""HP CC364A 64A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00MCDK9MM,COUK,,"""HP CF281A 81A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000BMXMDE,COUK,,"""HP Q6470A 501A Original LaserJet Toner Cartridge",Black,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00007147A,COUK,,"""HP C4836A 11 Original Ink Cartridge",Cyan,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B00007147B,COUK,,"""HP C4837A 11 Original Ink Cartridge",Magenta,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
43553,Y,AMAZON,B000051RMG,COUK,,"""HP C6578D 78 Original Ink Cartridge",Tri-color,"Pack of 1""",HP,HP,PRINTER SUPPLIES,,,
